City,Country,Age,Patients (M),Patients (F),Meat (M),Meat (M) Std Err,Meat (F),Meat (F) Std Err,Fish (M),Fish (M) Std Err,Fish (F),Fish (F) Std Err,Poultry (M),Poultry (M) Std Err,Poultry (F),Poultry (F) Std Err
Aarhus,Denmark,50 - 65,27,29,119.2,0.3,68.9,0.2,43.9,0.02,31.3,0.1,14.5,0.05,17.8,0.1
Copenhagen,Denmark,50 - 65,67,54,124.9,0.2,68.6,0.1,45.2,0.1,37.5,0.1,18.5,0.04,15.3,0.05
,France,43 - 68,n/a,174,n/a,n/a,76,0.1,n/a,n/a,39.2,0.04,n/a,n/a,24.2,0.1
Heidelberg,Germany,40 - 65,33,15,143.2,0.4,75.2,0.2,17,0.1,14,0.1,19.4,0.8,15.8,0.04
Potsdam,Germany,35 - 65,39,27,140.9,0.4,73.5,0.2,23.6,0.1,19.3,0.1,16.7,0.8,11.9,0.03
,Greece,30 - 76,13,11,64,0.2,34.6,0.1,52.1,0.2,31.2,0.1,15.3,0.4,12.4,0.03
Florence,Italy,35 - 65,17,30,102.4,0.5,64.1,0.2,33.2,0.2,21,0.1,41,0.2,24.5,0.05
Turin,Italy,35 - 65,18,4,96.3,0.3,60.6,0.3,32,0.2,20.3,0.1,40.4,0.1,24,0.1
Varese,Italy,35 - 72,6,20,99.5,0.5,64.4,0.2,31,0.3,19.4,0.1,39.1,0.2,23.4,0.05
Naples,Italy,35 - 68,n/a,3,n/a,n/a,59.8,0.2,n/a,n/a,26.5,0.1,n/a,n/a,24,0.1
Ragusa,Italy,35 - 65,2,1,89.2,0.4,56.8,0.3,27.4,0.2,17.6,0.1,39.5,0.2,24,0.1
Bilthoven,Netherlands,21 - 64,13,9,141.2,0.5,81.2,0.3,17,0.1,11.6,0.1,19,0.1,13.6,0.1
Utrecht,Netherlands,49 - 70,n/a,75,n/a,n/a,78.8,0.2,n/a,n/a,14,0.05,n/a,n/a,13.2,0.05
,Norway,41 - 56,n/a,20,n/a,n/a,77.8,0.1,n/a,n/a,48.6,0.1,n/a,n/a,12.8,0.03
Granada,Spain,35 - 65,7,9,127.8,0.8,65.7,0.2,96.6,0.7,60,0.2,33.1,0.2,25,0.1
Murcia,Spain,35 - 65,7,10,134.3,0.7,72,0.3,90.3,0.1,59.5,0.2,36.3,0.2,28.5,0.1
Asturias,Spain,35 - 65,11,11,134.9,0.5,71.3,0.2,96.1,0.5,62.8,0.2,37.7,0.2,27.8,0.1
Navarra,Spain,35 - 65,14,10,147.3,0.5,79.5,0.3,91.4,0.5,59.4,0.2,38.5,0.2,28,0.1
San Sebastian,Spain,35 - 65,20,11,141.3,0.5,71.1,0.3,99.9,0.5,64.7,0.2,40,0.2,28.6,0.1
Malmo,Sweden,45 - 73,94,100,123.1,0.2,78.5,0.1,42,0.1,33.1,0.05,11.5,0.04,11.2,0.02
Umea,Sweden,30 - 60,44,34,121.7,0.2,77.5,0.1,33.5,0.1,25.6,0.03,7.7,0.03,8.1,0.02
Norfolk,U.K.,41 - 76,82,68,78.8,0.3,46.2,0.1,31.7,0.1,28.7,0.03,26.4,0.2,22.2,0.1
Oxford,U.K.,21 - 83,8,14,79.9,0.6,49.4,0.2,33,0.1,28.2,0.05,28.6,0.4,23.2,0.2
